,,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away
Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/G,xG,xGA,xGD,xGD/90,MP,W,D,L,GF,GA,GD,Pts,Pts/G,xG,xGA,xGD,xGD/90
1,Atlético Madrid,15,11,3,1,30,9,+21,36,2.40,19.8,14.3,+5.5,+0.37,14,9,3,2,21,10,+11,30,2.14,17.7,11.1,+6.6,+0.47
2,Barcelona,15,10,4,1,37,14,+23,34,2.27,36.6,17.1,+19.6,+1.30,14,10,1,3,31,10,+21,31,2.21,25.8,13.3,+12.5,+0.89
3,Real Madrid,14,10,1,3,25,9,+16,31,2.21,21.5,12.3,+9.2,+0.66,15,9,5,1,26,14,+12,32,2.13,26.8,15.2,+11.6,+0.77
4,Sevilla,15,11,1,3,23,9,+14,34,2.27,21.9,12.7,+9.2,+0.61,14,7,3,4,17,12,+5,24,1.71,15.2,13.6,+1.7,+0.12
5,Betis,14,8,2,4,21,17,+4,26,1.86,20.3,16.1,+4.2,+0.30,15,6,2,7,18,25,-7,20,1.33,16.9,19.6,-2.6,-0.18
6,Villarreal,14,6,6,2,20,15,+5,24,1.71,23.4,10.5,+12.9,+0.92,15,5,7,3,22,16,+6,22,1.47,21.5,18.8,+2.7,+0.18
7,Real Sociedad,14,6,5,3,24,16,+8,23,1.64,26.1,11.9,+14.2,+1.01,14,6,4,4,20,12,+8,22,1.57,20.7,12.7,+8.1,+0.58
8,Celta Vigo,14,6,3,5,20,22,-2,21,1.50,19.9,18.6,+1.3,+0.09,15,3,7,5,18,22,-4,16,1.07,16.4,15.9,+0.5,+0.03
9,Granada,15,8,3,4,20,19,+1,27,1.80,16.2,15.0,+1.1,+0.08,14,2,3,9,14,30,-16,9,0.64,13.2,25.4,-12.2,-0.87
10,Athletic Club,14,7,3,4,23,13,+10,24,1.71,19.4,10.7,+8.7,+0.62,14,2,5,7,15,19,-4,11,0.79,14.4,16.0,-1.6,-0.11
11,Levante,15,5,7,3,21,19,+2,22,1.47,18.7,17.9,+0.8,+0.05,14,3,4,7,15,20,-5,13,0.93,14.9,23.5,-8.6,-0.61
12,Valencia,14,6,5,3,22,16,+6,23,1.64,18.0,19.5,-1.5,-0.10,15,2,4,9,13,24,-11,10,0.67,15.1,19.8,-4.6,-0.31
13,Cádiz,15,4,4,7,14,23,-9,16,1.07,13.2,19.8,-6.6,-0.44,14,4,4,6,12,22,-10,16,1.14,12.4,20.0,-7.6,-0.54
14,Osasuna,15,4,5,6,13,19,-6,17,1.13,13.1,19.5,-6.4,-0.43,14,3,5,6,10,16,-6,14,1.00,13.6,16.9,-3.3,-0.24
15,Getafe,15,5,5,5,13,10,+3,20,1.33,10.6,12.8,-2.3,-0.15,14,2,4,8,9,23,-14,10,0.71,12.2,21.0,-8.8,-0.63
16,Valladolid,14,3,5,6,15,22,-7,14,1.00,15.3,19.3,-4.0,-0.28,15,2,7,6,11,17,-6,13,0.87,11.7,19.7,-8.0,-0.53
17,Elche,14,3,7,4,14,19,-5,16,1.14,11.4,25.0,-13.6,-0.97,15,2,4,9,12,24,-12,10,0.67,10.7,23.3,-12.6,-0.84
18,Huesca,14,2,6,6,12,18,-6,12,0.86,12.8,16.6,-3.8,-0.27,15,2,6,7,16,26,-10,12,0.80,15.4,19.9,-4.5,-0.30
19,Eibar,14,1,6,7,8,17,-9,9,0.64,15.9,15.4,+0.5,+0.03,15,3,5,7,14,18,-4,14,0.93,15.8,23.3,-7.5,-0.50
20,Alavés,15,3,5,7,12,20,-8,14,0.93,16.8,19.7,-2.9,-0.19,14,2,3,9,12,27,-15,9,0.64,14.1,21.9,-7.8,-0.56
